Genus,n_observations,n_abundant,mean_abundance,Genus_type,mfd_sampletype,group_size,Core,prevalence,fidelity
Bacillus,401,367,1.66554857090798,Core,Sediment,482,241,0.83195020746888,2
Clostridium_sensu_stricto_1,377,340,1.0853811050099,Core,Sediment,482,241,0.782157676348548,1
Clostridium_sensu_stricto_13,349,298,0.750159432172999,Core,Sediment,482,241,0.724066390041494,1
Mycobacterium,423,381,0.65988355239728,Core,Sediment,482,241,0.877593360995851,3
MFD_g_2945,392,363,0.625719515326194,Core,Sediment,482,241,0.813278008298755,1
Luteolibacter,384,308,0.544554045436099,Core,Sediment,482,241,0.796680497925311,1
MFD_g_782,377,352,0.495896174456067,Core,Sediment,482,241,0.782157676348548,2
Nocardioides,328,270,0.487821038421083,Core,Sediment,482,241,0.680497925311203,3
Desulfobacca,358,298,0.474569533132905,Core,Sediment,482,241,0.742738589211618,1
Spirochaeta,356,286,0.427568100313895,Core,Sediment,482,241,0.738589211618257,1
Sva0081_sediment_group,352,280,0.420735292899678,Core,Sediment,482,241,0.730290456431535,1
Subgroup_10,347,257,0.396923994334982,Core,Sediment,482,241,0.719917012448133,3
Ilumatobacter,362,276,0.390712351231148,Core,Sediment,482,241,0.75103734439834,1
Gaiella,323,263,0.389884132150637,Core,Sediment,482,241,0.670124481327801,2
MFD_g_561,314,262,0.38491481766757,Core,Sediment,482,241,0.651452282157676,1
Hyphomicrobium,371,308,0.384914817667569,Core,Sediment,482,241,0.769709543568465,2
Pir4_lineage,415,321,0.38201605088578,Core,Sediment,482,241,0.860995850622407,2
MFD_g_4212,345,305,0.377667900713097,Core,Sediment,482,241,0.715767634854772,1
Anaeromyxobacter,303,243,0.353028383067889,Core,Sediment,482,241,0.628630705394191,1
MFD_g_657,309,243,0.348887287665333,Core,Sediment,482,241,0.641078838174274,1
Syntrophorhabdus,312,255,0.30975393611118,Core,Sediment,482,241,0.647302904564315,1
Haliangium,355,284,0.298780033294407,Core,Sediment,482,241,0.736514522821577,3
MFD_g_2750,330,276,0.281801542143928,Core,Sediment,482,241,0.684647302904564,1
MFD_g_2480,326,257,0.280766268293289,Core,Sediment,482,241,0.676348547717842,1
MFD_g_2744,346,264,0.27973099444265,Core,Sediment,482,241,0.717842323651452,1
Anaerolinea,313,253,0.275589899040094,Core,Sediment,482,241,0.649377593360996,1
MFD_g_5535,338,264,0.249500998003992,Core,Sediment,482,241,0.701244813278008,2
Pirellula,358,244,0.231280178232746,Core,Sediment,482,241,0.742738589211618,1
Acidothermus,1175,986,5.05354138593652,Core,Soil,1502,751,0.782290279627164,1
Bacillus,1382,1285,2.87474319005132,Core,Soil,1502,751,0.920106524633822,2
Mycobacterium,1494,1481,2.19866525271694,Core,Soil,1502,751,0.994673768308921,3
Nocardioides,1229,1156,1.95202138997637,Core,Soil,1502,751,0.818242343541944,3
Conexibacter,1436,1367,1.27348498741532,Core,Soil,1502,751,0.956058588548602,1
Ca_Udaeobacter,1238,1150,1.2362093389785,Core,Soil,1502,751,0.824234354194408,1
Gaiella,1057,989,1.09368480083774,Core,Soil,1502,751,0.703728362183755,2
Streptomyces,1308,1191,1.0213926341724,Core,Soil,1502,751,0.870838881491345,1
Ca_Solibacter,1361,1216,0.806509484360175,Core,Soil,1502,751,0.90612516644474,1
Haliangium,1391,1319,0.720330311414455,Core,Soil,1502,751,0.926098535286285,3
MFD_g_144,1311,1148,0.632024898272696,Core,Soil,1502,751,0.872836218375499,1
Bryobacter,1418,1271,0.610031601244914,Core,Soil,1502,751,0.944074567243675,1
Paenibacillus,1370,1176,0.602589760558776,Core,Soil,1502,751,0.912117177097204,1
Solirubrobacter,1056,929,0.599865515307601,Core,Soil,1502,751,0.70306258322237,1
MFD_g_8204,1227,1135,0.593619684731735,Core,Soil,1502,751,0.816910785619174,1
MFD_g_8,1392,1265,0.576410428145042,Core,Soil,1502,751,0.92676431424767,1
Bradyrhizobium,1359,1202,0.50119468121015,Core,Soil,1502,751,0.904793608521971,1
Acidibacter,1305,1092,0.49820465593447,Core,Soil,1502,751,0.86884154460719,1
Pseudonocardia,1105,961,0.451626706639983,Core,Soil,1502,751,0.735685752330226,1
Gemmatimonas,1143,939,0.40039760691666,Core,Soil,1502,751,0.76098535286285,1
Pir4_lineage,1118,964,0.392557096193764,Core,Soil,1502,751,0.744340878828229,2
MFD_g_264,945,795,0.352092087462891,Core,Soil,1502,751,0.629161118508655,1
MFD_g_650,955,803,0.348105387095317,Core,Soil,1502,751,0.635818908122503,1
MFD_g_782,1051,929,0.320862934583563,Core,Soil,1502,751,0.699733688415446,2
Jatrophihabitans,1061,778,0.31827157934464,Core,Soil,1502,751,0.706391478029294,1
Aquisphaera,1053,776,0.311361298707512,Core,Soil,1502,751,0.701065246338216,1
Ca_Alysiosphaera,970,795,0.303454342978491,Core,Soil,1502,751,0.645805592543276,1
MFD_g_5535,1101,941,0.300663652721189,Core,Soil,1502,751,0.733022636484687,2
Pajaroellobacter,1292,974,0.297806517457761,Core,Soil,1502,751,0.860186418109188,1
MFD_g_6,1037,868,0.294284932133071,Core,Soil,1502,751,0.690412782956059,1
Nakamurella,1069,820,0.29129490685739,Core,Soil,1502,751,0.711717709720373,1
MFD_g_812,1137,944,0.278603910687281,Core,Soil,1502,751,0.756990679094541,1
MFD_g_2431,904,760,0.275281660380969,Core,Soil,1502,751,0.601864181091877,1
Reyranella,1151,897,0.266112249535549,Core,Soil,1502,751,0.766311584553928,1
Subgroup_10,1056,790,0.243853172483263,Core,Soil,1502,751,0.70306258322237,3
Chthoniobacter,1190,858,0.219069185198179,Core,Soil,1502,751,0.792276964047936,1
Flavobacterium,94,82,0.92065868263473,Core,Water,120,60,0.783333333333333,1
Tetrasphaera,75,68,0.874916833000665,Core,Water,120,60,0.625,1
MFD_g_212,69,64,0.612109115103128,Core,Water,120,60,0.575,1
Subgroup_10,80,73,0.579673985362608,Core,Water,120,60,0.666666666666667,3
Terrimonas,81,71,0.579673985362608,Core,Water,120,60,0.675,1
Ferruginibacter,78,69,0.556387225548903,Core,Water,120,60,0.65,1
Nitrospira,79,69,0.548070525615436,Core,Water,120,60,0.658333333333333,1
Ca_Microthrix,71,64,0.535595475715236,Core,Water,120,60,0.591666666666667,1
MFD_g_1292,71,65,0.52727877578177,Core,Water,120,60,0.591666666666667,1
CL500-29_marine_group,92,87,0.526447105788423,Core,Water,120,60,0.766666666666667,1
Mycobacterium,83,60,0.499001996007984,Core,Water,120,60,0.691666666666667,3
Haliangium,85,71,0.424983366600133,Core,Water,120,60,0.708333333333333,3
Propioniciclava,79,68,0.373419827012641,Core,Water,120,60,0.658333333333333,1
Nocardioides,89,65,0.369261477045908,Core,Water,120,60,0.741666666666667,3
Bifidobacterium,83,62,0.369261477045908,Core,Water,120,60,0.691666666666667,1
Hyphomicrobium,83,72,0.364271457085828,Core,Water,120,60,0.691666666666667,2
Trichococcus,78,63,0.328509647371923,Core,Water,120,60,0.65,1
MFD_g_7704,75,60,0.30189620758483,Core,Water,120,60,0.625,1
Iamia,77,65,0.290252827677978,Core,Water,120,60,0.641666666666667,1
Rhodoferax,76,63,0.288589487691284,Core,Water,120,60,0.633333333333333,1
Novosphingobium,77,60,0.256986027944112,Core,Water,120,60,0.641666666666667,1
